State,County,Agency,Scraper,Website,Courts Website,What Data Exists,Code,FOIA Req Needed?,NIBRS?,2019 Population,Percent completion
Florida,Calhoun County,,,,,,,,,"14,105",
Florida,Charlotte County,,,,,,,,,"188,910",
Florida,Citrus County,,,,,,,,,"149,657",
Florida,Clay County,,,,,,,,,"219,252",
Florida,Collier County,,,,,,,,,"384,902",
Florida,Columbia County,,,,,,,,,"71,686",
Florida,DeSoto County,,,,,,,,,"38,001",
Florida,Dixie County,,,,,,,,,"16,826",
Florida,Duval County,,,,,,,,,"957,755",
Florida,Escambia County,,,,,,,,,"318,316",
Florida,Flagler County,,,,,,,,,"115,081",
Florida,Franklin County,,,,,,,,,"12,125",
Florida,Gadsden County,,,,,,,,,"45,660",
Florida,Gilchrist County,,,,,,,,,"18,582",
Florida,Glades County,,,,,,,,,"13,811",
Florida,Gulf County,,,,,,,,,"13,639",
Florida,Hamilton County,,,,,,,,,"14,428",
Florida,Hardee County,,,,,,,,,"26,937",
Florida,Hendry County,,,,,,,,,"42,022",
Florida,Hernando County,,,,,,,,,"193,920",
Florida,Highlands County,,,,,,,,,"106,221",
Florida,Hillsborough County,,,,,,,,,"1,471,968",
Florida,Holmes County,,,,,,,,,"19,617",
Florida,Indian River County,,,,,,,,,"159,923",
Florida,Jackson County,,,,,,,,,"46,414",
Florida,Jefferson County,,,,,,,,,"14,246",
Florida,Lafayette County,,,,,,,,,"8,422",
Florida,Lake County,,,,,,,,,"367,118",
Florida,Lee County,,,,,,,,,"770,577",
Florida,Leon County,,,,,,,,,"293,582",
Florida,Levy County,,,,,,,,,"41,503",
Florida,Liberty County,,,,,,,,,"8,354",
Florida,Madison County,,,,,,,,,"18,493",
Florida,Manatee County,,,,,,,,,"403,253",
Florida,Marion County,,,,,,,,,"365,579",
Florida,Martin County,,,,,,,,,"161,000",
Florida,Miami-Dade County,,,,,,,,,"2,716,940",
Florida,Monroe County,,,,,,,,,"74,228",
Florida,Nassau County,,,,,,,,,"88,625",
Florida,Okaloosa County,,,,,,,,,"210,738",
Florida,Okeechobee County,,,,,,,,,"42,168",
Florida,Orange County,,,,,,,,,"1,393,452",
Florida,Osceola County,,,,,,,,,"375,751",
Florida,Palm Beach County,,,,,,,,,"1,496,770",
Florida,Pasco County,,,,,,,,,"553,947",
Florida,Pinellas County,,,,,,,,,"974,996",
Florida,Polk County,,,,,,,,,"724,777",
Florida,Putnam County,,,,,,,,,"74,521",
Florida,Santa Rosa County,,,,,,,,,"184,313",
Florida,Sarasota County,,,,,,,,,"433,742",
Florida,Seminole County,,,,,,,,,"471,826",
Florida,St. Johns County,,,,,,,,,"264,672",
Florida,St. Lucie County,,,,,,,,,"328,297",
Florida,Sumter County,,,,,,,,,"132,420",
Florida,Suwannee County,,,,,,,,,"44,417",
Florida,Taylor County,,,,,,,,,"21,569",
Florida,Union County,,,,,,,,,"15,237",
Florida,Volusia County,,,,,,,,,"553,284",
Florida,Wakulla County,,,,,,,,,"33,739",
Florida,Walton County,,,,,,,,,"74,071",
Florida,Washington County,,,,,,,,,"25,473",
Georgia,Appling County,,,,,,,,,"18,386",
Georgia,Atkinson County,,,,,,,,,"8,165",
Georgia,Bacon County,,,,,,,,,"11,164",
Georgia,Baker County,,,,,,,,,"3,038",
Georgia,Baldwin County,,,,,,,,,"44,890",
Georgia,Banks County,,,,,,,,,"19,234",
Georgia,Barrow County,,,,,,,,,"83,240",
Georgia,Bartow County,,,,,,,,,"107,738",
Georgia,Ben Hill County,,,,,,,,,"16,700",
Georgia,Berrien County,,,,,,,,,"19,397",
Georgia,Bibb County,,,,,,,,,"153,159",
Georgia,Bleckley County,,,,,,,,,"12,873",
Georgia,Brantley County,,,,,,,,,"19,109",
Georgia,Brooks County,,,,,,,,,"15,457",
Georgia,Bryan County,,,,,,,,,"39,627",
Georgia,Bulloch County,,,,,,,,,"79,608",
Georgia,Burke County,,,,,,,,,"22,383",
Georgia,Butts County,,,,,,,,,"24,936",
Georgia,Calhoun County,,,,,,,,,"6,189",
Georgia,Camden County,,,,,,,,,"54,666",
Georgia,Candler County,,,,,,,,,"10,803",
Georgia,Carroll County,,,,,,,,,"119,992",
Georgia,Catoosa County,,,,,,,,,"67,580",
Georgia,Charlton County,,,,,,,,,"13,392",
Georgia,Chatham County,,,,,,,,,"289,430",
Georgia,Chattahoochee County,,,,,,,,,"10,907",
Georgia,Chattooga County,,,,,,,,,"24,789",
Georgia,Cherokee County,,,,,,,,,"258,773",
Georgia,Clarke County,,,,,,,,,"128,331",
Georgia,Clay County,,,,,,,,,"2,834",
Georgia,Clayton County,,,,,,,,,"292,256",
Georgia,Clinch County,,,,,,,,,"6,618",
Georgia,Cobb County,,,,,,,,,"760,141",
Georgia,Coffee County,,,,,,,,,"43,273",
Georgia,Colquitt County,,,,,,,,,"45,600",
Georgia,Columbia County,,,,,,,,,"156,714",
Georgia,Cook County,,,,,,,,,"17,270",
Georgia,Coweta County,,,,,,,,,"148,509",
Georgia,Crawford County,,,,,,,,,"12,404",
Georgia,Crisp County,,,,,,,,,"22,372",
Georgia,Dade County,,,,,,,,,"16,116",
Georgia,Dawson County,,,,,,,,,"26,108",
Georgia,Decatur County,,,,,,,,,"26,404",
Georgia,DeKalb County,,,,,,,,,"759,297",
Georgia,Dodge County,,,,,,,,,"20,605",
Georgia,Dooly County,,,,,,,,,"13,390",
Georgia,Dougherty County,,,,,,,,,"87,956",
Georgia,Douglas County,,,,,,,,,"146,343",
Georgia,Early County,,,,,,,,,"10,190",
Georgia,Echols County,,,,,,,,,"4,006",
Georgia,Effingham County,,,,,,,,,"64,296",
Georgia,Elbert County,,,,,,,,,"19,194",
Georgia,Emanuel County,,,,,,,,,"22,646",
Georgia,Evans County,,,,,,,,,"10,654",
Georgia,Fannin County,,,,,,,,,"26,188",
Georgia,Fayette County,,,,,,,,,"114,421",
Georgia,Floyd County,,,,,,,,,"98,498",
Georgia,Forsyth County,,,,,,,,,"244,252",
Georgia,Franklin County,,,,,,,,,"23,349",
Georgia,Fulton County,"Fulton County Magistrate, State, and Superior Court",,,https://publicrecordsaccess.fultoncountyga.gov/Portal/Home/Dashboard/29,,"Tyler Technologies, Recaptcha",N,,"1,063,937",
Georgia,Gilmer County,,,,,,,,,"31,369",
Georgia,Glascock County,,,,,,,,,"2,971",
Georgia,Glynn County,,,,,,,,,"85,292",
Georgia,Gordon County,,,,,,,,,"57,963",
Georgia,Grady County,,,,,,,,,"24,633",
Georgia,Greene County,,,,,,,,,"18,324",
Georgia,Gwinnett County,,,,,,,,,"936,250",
Georgia,Habersham County,,,,,,,,,"45,328",
Georgia,Hall County,,,,,,,,,"204,441",
Georgia,Hancock County,,,,,,,,,"8,457",
Georgia,Haralson County,,,,,,,,,"29,792",
Georgia,Harris County,,,,,,,,,"35,236",
Georgia,Hart County,,,,,,,,,"26,205",
Georgia,Heard County,,,,,,,,,"11,923",
Georgia,Henry County,,,,,,,,,"234,561",
Georgia,Houston County,,,,,,,,,"157,863",
Georgia,Irwin County,,,,,,,,,"9,416",
Georgia,Jackson County,,,,,,,,,"72,977",
Georgia,Jasper County,,,,,,,,,"14,219",
Georgia,Jeff Davis County,,,,,,,,,"15,115",
Georgia,Jefferson County,,,,,,,,,"15,362",
Georgia,Jenkins County,,,,,,,,,"8,676",
Georgia,Johnson County,,,,,,,,,"9,643",
Georgia,Jones County,,,,,,,,,"28,735",
Georgia,Lamar County,,,,,,,,,"19,077",
Georgia,Lanier County,,,,,,,,,"10,423",
Georgia,Laurens County,,,,,,,,,"47,546",
Georgia,Lee County,,,,,,,,,"29,992",
Georgia,Liberty County,,,,,,,,,"61,435",
Georgia,Lincoln County,,,,,,,,,"7,921",
Georgia,Long County,,,,,,,,,"19,559",
Georgia,Lowndes County,,,,,,,,,"117,406",
Georgia,Lumpkin County,,,,,,,,,"33,610",
Georgia,Macon County,,,,,,,,,"12,947",
Georgia,Madison County,,,,,,,,,"29,880",
Georgia,Marion County,,,,,,,,,"8,359",
Georgia,McDuffie County,,,,,,,,,"21,312",
Georgia,McIntosh County,,,,,,,,,"14,378",
Georgia,Meriwether County,,,,,,,,,"21,167",
Georgia,Miller County,,,,,,,,,"5,718",
Georgia,Mitchell County,,,,,,,,,"21,863",
Georgia,Monroe County,,,,,,,,,"27,578",
Georgia,Montgomery County,,,,,,,,,"9,172",
Georgia,Morgan County,,,,,,,,,"19,276",
Georgia,Murray County,,,,,,,,,"40,096",
Georgia,Muscogee County,,,,,,,,,"195,769",
Georgia,Newton County,,,,,,,,,"111,744",
Georgia,Oconee County,,,,,,,,,"40,280",
Georgia,Oglethorpe County,,,,,,,,,"15,259",
Georgia,Paulding County,,,,,,,,,"168,667",
Georgia,Peach County,,,,,,,,,"27,546",
Georgia,Pickens County,,,,,,,,,"32,591",
Georgia,Pierce County,,,,,,,,,"19,465",
Georgia,Pike County,,,,,,,,,"18,962",
Georgia,Polk County,,,,,,,,,"42,613",
Georgia,Pulaski County,,,,,,,,,"11,137",
Georgia,Putnam County,,,,,,,,,"22,119",
Georgia,Quitman County,,,,,,,,,"2,299",
Georgia,Rabun County,,,,,,,,,"17,137",
Georgia,Randolph County,,,,,,,,,"6,778",
Georgia,Richmond County,,,,,,,,,"202,518",
Georgia,Rockdale County,,,,,,,,,"90,896",
Georgia,Schley County,,,,,,,,,"5,257",
Georgia,Screven County,,,,,,,,,"13,966",
Georgia,Seminole County,,,,,,,,,"8,090",
Georgia,Spalding County,,,,,,,,,"66,703",
Georgia,Stephens County,,,,,,,,,"25,925",
Georgia,Stewart County,,,,,,,,,"6,621",
Georgia,Sumter County,,,,,,,,,"29,524",
Georgia,Talbot County,,,,,,,,,"6,195",
Georgia,Taliaferro County,,,,,,,,,"1,537",
Georgia,Tattnall County,,,,,,,,,"25,286",
Georgia,Taylor County,,,,,,,,,"8,020",
Georgia,Telfair County,,,,,,,,,"15,860",
Georgia,Terrell County,,,,,,,,,"8,531",
Georgia,Thomas County,,,,,,,,,"44,451",
Georgia,Tift County,,,,,,,,,"40,644",
Georgia,Toombs County,,,,,,,,,"26,830",
Georgia,Towns County,,,,,,,,,"12,037",
Georgia,Treutlen County,,,,,,,,,"6,901",
Georgia,Troup County,,,,,,,,,"69,922",
Georgia,Turner County,,,,,,,,,"7,985",
Georgia,Twiggs County,,,,,,,,,"8,120",
Georgia,Union County,,,,,,,,,"24,511",
